Name,Address,Phone,website,place_id,Search Position,query_coords,search_number
Whole Foods Market,"8003 Turkey Lake Rd, Orlando, FL 32819",(407) 355-7100,https://www.wholefoodsmarket.com/stores/orlando?utm_source=google&utm_medium=organic&utm_campaign=listings,ChIJByE2wqt_54gRE1taOaOZIaw,19,"@29.50515,-83.24498,12z",0
Gourmet World Market,"Pelican Place At Craft Farms, 3800 Gulf Shores Pkwy UNIT 310, Gulf Shores, AL 36542",(251) 285-5431,https://www.facebook.com/gourmetworldmarketal,ChIJxxwt8EAFmogRbnUWC6IHaTg,20,"@29.50515,-83.24498,12z",0
Food Ranch Supermarket,"40 US-19, Inglis, FL 34449",(352) 447-2905,,ChIJrzQ8ezVb6IgRRPpwNXeWUPg,2,"@29.32519,-83.15995,12z",1
Gadson's Gourmet Gallery,"2001 Rockbridge Rd., Stone Mountain, GA 30088",(912) 346-4076,http://www.gadsonsgourmetgallery.yolasite.com/,ChIJ03H7RWKl9YgRqutHsNoL0HE,5,"@29.32519,-83.15995,12z",1
Savi Provisions,"287 Elizabeth St NE, Atlanta, GA 30307",(404) 523-3131,http://www.saviprovisions.com/,ChIJD_JKYQEE9YgR_9yvdQwfej8,6,"@29.32519,-83.15995,12z",1
Produce and Gourmet Market,"3561 Lavista Rd, Decatur, GA 30033",,,ChIJ0XwbwQGo9YgRDQ3M7vieH3Y,8,"@29.32519,-83.15995,12z",1
http://www.anniesgourmetsyrup.com,"201 Silver Springs Cir SW, Atlanta, GA 30310",(470) 357-8400,http://www.anniesgourmetsyrup.com/,ChIJX0_yZUEd9YgRbLaLTqmYRoc,9,"@29.32519,-83.15995,12z",1
The Savory Gourmet Market,"50 Canton St Suite 109, Alpharetta, GA 30009",(770) 857-3960,http://www.savorygourmetmarket.com/,ChIJ0XHZpKR19YgRHFILlKPvD48,10,"@29.32519,-83.15995,12z",1
LeAnn's Gourmet Foods,"1 Cherry St, Hampton, GA 30228",(770) 560-5980,,ChIJL4xkbuX19IgRffSIFr_8d6k,11,"@29.32519,-83.15995,12z",1
Savi Provisions,"988 Peachtree St NE, Atlanta, GA 30309",(678) 974-2120,http://www.saviprovisions.com/,ChIJXdIpn0IE9YgRkumuGwsVKX8,12,"@29.32519,-83.15995,12z",1
Lucy's Market,"56 E Andrews Dr NW, Atlanta, GA 30305",(404) 869-9222,http://www.lucysmarket.com/,ChIJWRj4FY8F9YgR4BBoZThHMYM,13,"@29.32519,-83.15995,12z",1
Savi Provisions lenox,"3478 Lakeside Dr NE Suite A, Atlanta, GA 30326",(404) 968-9091,http://www.saviprovisions.com/,ChIJO0VbQnEP9YgRO30mXL5Mb1A,14,"@29.32519,-83.15995,12z",1
Vine & Olive,"576 Fairview Rd Suite D2, Stockbridge, GA 30281",(470) 781-3566,https://www.vineandolives.com/,ChIJAbZWYgdV9IgRBLgs5zxyvew,15,"@29.32519,-83.15995,12z",1
Euro Gourmet,"488 Gwinnett Dr, Lawrenceville, GA 30046",(770) 513-7788,,ChIJ2aZjSuq-9YgRjIpjyAx-UFg,16,"@29.32519,-83.15995,12z",1
International Gourmet Foods,"5925 Atlanta Hwy, Alpharetta, GA 30004",(678) 566-1391,,ChIJUd3f7aZ19YgRwefYwG2w-Oo,17,"@29.32519,-83.15995,12z",1
Savi Provisions,"4403 Northside Pkwy NW # 170, Atlanta, GA 30327",(404) 963-6324,https://www.saviprovisions.com/,ChIJe3fNCnAR9YgRPNYPHViQEbI,18,"@29.32519,-83.15995,12z",1
Vine & Olive,"1010 White St SW Container #3, Atlanta, GA 30310",(470) 781-3566,https://www.vineandolives.com/,ChIJtSQghPAD9YgRI9eaW-MSbDw,19,"@29.32519,-83.15995,12z",1
Holland Grocery,"1180 McKendree Church Rd Ste 208, Lawrenceville, GA 30043",(678) 852-0842,,ChIJr7L0a1S99YgRW4QL9E-CURc,20,"@29.32519,-83.15995,12z",1
Sometimes it's Hotter,"112 E Gulf Beach Dr, St George Island, FL 32328",(850) 927-5039,,ChIJC4I4WAw264gR1i-jShEV3-Q,1,"@29.74232,-85.06938,12z",2
Wimico Country Store,"6987 FL-71, Wewahitchka, FL 32465",(850) 827-2727,,ChIJP0grNs28lIgRuK3l0jxGEEo,2,"@29.74232,-85.06938,12z",2
Piggly Wiggly St. George Island Grocery Store,"244 Franklin Blvd, St George Island, FL 32328",(850) 927-2808,https://www.pigglywigglyfl.com/locations/piggly-wiggly-st-george-island/,ChIJ3dXVpt0164gR17qhAig7VCo,3,"@29.74232,-85.06938,12z",2
Gulfside IGA Plus,"812 Ave A N, Carrabelle, FL 32322",(850) 697-2710,http://www.gulfsideplus.iga.com/,ChIJaU_OUkZD64gR8IvWlnhW-Lg,4,"@29.74232,-85.06938,12z",2
Grocery Outlet,"225 S Tyndall Pkwy, Panama City, FL 32404",(850) 818-0100,https://groceryoutlet.us/visit-our-locations/grocery-outlet-panama-city-7705,ChIJR5uTKXB_k4gR_PQ8dJOWqy8,5,"@29.74232,-85.06938,12z",2
Garner's Supermarket (Piggly Wiggly express),"8012 Hwy 2301, Panama City, FL 32404",(850) 913-9665,https://www.facebook.com/garnessupermarketpigglywigglyexpress/,ChIJR8fRluJ2k4gRWwnvVw_-fLM,6,"@29.74232,-85.06938,12z",2
Winn-Dixie,"132 S Tyndall Pkwy, Parker, FL 32404",(850) 913-0086,https://www.winndixie.com/,ChIJ8QIPXmV_k4gRlkV-shB4efQ,7,"@29.74232,-85.06938,12z",2
Apalachicola Chocolate & Coffee Company,"75 Market St, Apalachicola, FL 32320",(850) 653-1025,https://www.facebook.com/Apalachicolachocolatecompany?y_source=1_MjgyMDE3OTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,ChIJGdL-tae1lIgRebtP0r0Ic2s,8,"@29.74232,-85.06938,12z",2
David Rich's IGA,"201 W River Rd, Wewahitchka, FL 32465",(850) 639-5343,,ChIJKxVrSiVfk4gRO-N55_mjkaw,9,"@29.74232,-85.06938,12z",2
Piggly Wiggly,"11325 FL-20, Bristol, FL 32321",(850) 643-4700,https://www.pigglywiggly.com/,ChIJhQ1lU51Kk4gRWotuVT6ii5w,10,"@29.74232,-85.06938,12z",2
SUGAR KINGDOM,"119 Franklin Blvd, Eastpoint, FL 32328",,http://www.sugarkingdom.com/,ChIJAwcXNRk164gRnthuStGkFgc,11,"@29.74232,-85.06938,12z",2
Dollar General,"608 Hwy 98 E, Carrabelle, FL 32322",(904) 299-6315,https://www.dollargeneral.com/store-directory/fl/carrabelle/7721,ChIJy9Yp48Rc64gRstnJciV-3PI,13,"@29.74232,-85.06938,12z",2
Tasty T's soul,"6834 David Ct, Indianapolis, IN 46226",(317) 740-4882,http://tastytssoul.godaddysites.com/,ChIJ--37BRRNa4gRLbfo66-cO9M,14,"@29.74232,-85.06938,12z",2
Amici Market,"155 N County Rd, Palm Beach, FL 33480",(561) 832-0201,http://amicimarket.com/,ChIJ1wi-w5vW2IgRt6XgfjH6U0M,15,"@29.74232,-85.06938,12z",2
Blue Ribbon Foods,"4355 International Blvd NW # 150, Norcross, GA 30093",(800) 633-4347,http://www.blueribbonfoods.com/,ChIJm8OIdYOj9YgR3_dx8Wi-vkI,16,"@29.74232,-85.06938,12z",2
Gourmet Garden Market,"1345 Nostrand Ave., Brooklyn, NY 11226",(347) 673-5525,,ChIJGamB7IFbwokRUmTuofLGMIc,17,"@29.74232,-85.06938,12z",2
Whole Foods Market,"2800 Old Milton Pkwy, Alpharetta, GA 30009",(678) 534-3138,https://www.wholefoodsmarket.com/stores/avalon?utm_source=google&utm_medium=organic&utm_campaign=listings,ChIJIUHbfoN19YgR3nmflSnFA6Q,18,"@29.74232,-85.06938,12z",2
Grapes & Gourmet LLC,"313 E Carmel Dr, Carmel, IN 46032",(317) 817-9473,,ChIJK7zhlKatFIgRTmnva_uz2xY,19,"@29.74232,-85.06938,12z",2
Dollar General,"1434 Coastal Hwy #98, Panacea, FL 32346",(850) 404-9114,https://www.dollargeneral.com/store-directory/fl/panacea/6463,ChIJaaofiYN964gRtyXWWzYBcXQ,20,"@29.74232,-85.06938,12z",2
Lucy's Goodies Ll,"6501 Arlington Expy B105 #2076, Jacksonville, FL 32211",(904) 330-4270,,ChIJHyav9Ja15YgR6QjAJDvCIoo,1,"@30.21916,-81.67869,12z",3
Brian Food Mart,"1626 Mindanao Dr, Jacksonville, FL 32246",(904) 646-4007,,ChIJU3pkBrW05YgRbjDZFdkUNvY,2,"@30.21916,-81.67869,12z",3
Brookview Food Store,"10394 Atlantic Blvd, Jacksonville, FL 32225",(904) 642-0455,,ChIJyS7wkri05YgR76kuj_r3pK8,3,"@30.21916,-81.67869,12z",3
Safari Food,"1570 San Marco Blvd, Jacksonville, FL 32207",(904) 399-4454,,ChIJKT913Ve35YgRoqDfexidxFc,4,"@30.21916,-81.67869,12z",3
The Fresh Market,"150 Riverside Ave Suite 200, Jacksonville, FL 32202",(904) 665-0180,https://stores.thefreshmarket.com/fl/jacksonville/196,ChIJ3Tjy-2y35YgRdQwbouYnlLA,5,"@30.21916,-81.67869,12z",3
A & M Food Mart,"3220 Beachwood Blvd, Jacksonville, FL 32246",(904) 641-4969,,ChIJJ7o5RS215YgR5rssF_OlDCk,6,"@30.21916,-81.67869,12z",3
Gastronome,"10734 Atlantic Blvd, Jacksonville, FL 32225",(904) 518-5168,https://www.facebook.com/gastronomecafe/,ChIJ17H2fr-05YgRY7ndhnts8sA,7,"@30.21916,-81.67869,12z",3
Amar European Grocery Store,"5664 Santa Monica Blvd S, Jacksonville, FL 32207",(904) 739-9447,,ChIJ9UfPewm25YgRCB_be6qpoKk,8,"@30.21916,-81.67869,12z",3
San Marco Food Store,"7167 Crane Ave, Jacksonville, FL 32216",(904) 725-0019,,ChIJsZRx5jW05YgRi5rPBdNpddk,9,"@30.21916,-81.67869,12z",3
Star Food,"102 Suzanne Ave, Orange Park, FL 32073",(904) 579-3043,,ChIJnzaBY0bE5YgR06hA5cQ9GK0,10,"@30.21916,-81.67869,12z",3
Stockton Food Mart,"450 Stockton St, Jacksonville, FL 32204",,,ChIJjf5-Zdi55YgRPfN3P9nqZlo,11,"@30.21916,-81.67869,12z",3
San Marco Food Store,"1510 San Marco Blvd, Jacksonville, FL 32207",(904) 398-0097,,ChIJKWuRUQi35YgRufMQ-PproWw,12,"@30.21916,-81.67869,12z",3
Knyaw grocery,"5800 Beach Blvd suit 103, Jacksonville, FL 32207",,,ChIJnQ6KeYe35YgR_JQPeSui4Ek,13,"@30.21916,-81.67869,12z",3
The Fresh Market,"12795 San Jose Blvd Suite 1, Jacksonville, FL 32223",(904) 880-7889,https://stores.thefreshmarket.com/fl/jacksonville/26,ChIJk3n3Fu7O5YgREjhZnym6xXQ,14,"@30.21916,-81.67869,12z",3
Sunrise Food,"5406 Plymouth St, Jacksonville, FL 32205",(904) 783-8362,,ChIJKyC_7Pm45YgRvL5cfN_lKno,15,"@30.21916,-81.67869,12z",3
Aladdin Imported foods,"6925 St Augustine Rd, Jacksonville, FL 32217",(904) 503-5968,,ChIJmSxRgd3J5YgR6R0tCwP9Kpk,16,"@30.21916,-81.67869,12z",3
All Spiced Up,"3543 St Johns Ave, Jacksonville, FL 32205",(904) 384-0002,https://www.allspicedup.net/,ChIJYfW5xjq45YgRWBHSPNzP0QM,17,"@30.21916,-81.67869,12z",3
Fraser Food Mart inc,"10006 Fraser Rd, Jacksonville, FL 32246",(904) 425-0810,https://frase-food-mart-inc.business.site/,ChIJc-cWReO05YgRKY-EElom01k,18,"@30.21916,-81.67869,12z",3
Harveys Supermarkets,"777 N Market St, Jacksonville, FL 32202",(904) 353-6810,https://www.harveyssupermarkets.com/,ChIJF8Cb5SG35YgR6YKYb5JMoTM,19,"@30.21916,-81.67869,12z",3
1st & Huron Food Store/Deli & Smoke Shop,"1098 Huron St, Jacksonville, FL 32254",(904) 367-2939,https://www.facebook.com/profile.php?id=100067883829550&mibextid=ZbWKwL,ChIJE2BFwYq55YgRNNCWFMpIjJU,20,"@30.21916,-81.67869,12z",3
The Treasured Olive,"52 4th St NW, Winter Haven, FL 33881",(863) 294-6457,http://www.thetreasuredolive.com/,ChIJ4Vt8LA0T3YgR-JllUs15swM,1,"@28.11886,-81.73191,12z",4
Hard 2 Find Shop BOOTH A-45,"West 1052, @ INTERNATIONAL MRKT WORLD, 1052 US-92, Auburndale, FL 33823",(863) 687-8783,,ChIJDYaaNtNq3YgRKLX8msqlI5Q,3,"@28.11886,-81.73191,12z",4
C & D Tropical Store,"150 Ave T NE, Winter Haven, FL 33881",(863) 299-4562,,ChIJIeKV99ES3YgRXjr8WXpxESg,4,"@28.11886,-81.73191,12z",4
Smith's Grocery & Deli,"829 FL-17, Lake Hamilton, FL 33851",(863) 439-1677,https://www.smithsfoodanddrug.com/pl/deli/13?fulfillment=all,ChIJ5ZgXoHRz3YgRTu2lakxWP1A,5,"@28.11886,-81.73191,12z",4
Target Grocery,"5000 Grandview Pkwy, Davenport, FL 33837",(863) 256-1051,https://www.target.com/c/order-pickup/-/N-ng0a0?aisles_cid=5xt1a%2CGrocery%2C%2Fc%2Fgrocery%2F-%2FN-5xt1a,ChIJYbpysxB73YgRvyAsTi-p_YU,6,"@28.11886,-81.73191,12z",4
New Diamond Food Inc,"1345 Kathleen Rd, Lakeland, FL 33805",(863) 682-8251,,ChIJNWtONaA43YgRIiXc1O9mkeg,7,"@28.11886,-81.73191,12z",4
Mamu Mart,"3296 Cypress Gardens Rd, Winter Haven, FL 33884",(863) 324-0786,,ChIJG8LVw5wN3YgRjLUmHmel18c,8,"@28.11886,-81.73191,12z",4
ALDI,"35770 US Hwy 27, Haines City, FL 33844",(855) 955-2534,https://stores.aldi.us/fl/haines-city/35770-highway-27?utm_source=google&utm_medium=local&utm_campaign=brand&utm_content=storepage_webclick,ChIJCehZcjBz3YgR106Ye05ek58,9,"@28.11886,-81.73191,12z",4
Save A Lot,"1534 3rd St SW, Winter Haven, FL 33880",(863) 297-5483,https://savealot.com/grocery-stores/winter-haven-33880-60088?utm_source=google&utm_medium=organic&utm_campaign=gmb,ChIJW_bQwf4S3YgRlVQOtbnkxo0,10,"@28.11886,-81.73191,12z",4
Pannoli International Gourmet,"12981 S Orange Blossom Trl, Orlando, FL 32837",(407) 856-6866,,ChIJpeW22RSH3YgRG4f2t1io7Ns,11,"@28.11886,-81.73191,12z",4
Old South Country Market,"6595 Florida Ave S STE 2, Lakeland, FL 33813",(863) 940-3312,http://oscmlkld.com/,ChIJ4Sields73YgRZ1BYL9N0pCo,12,"@28.11886,-81.73191,12z",4
M & M Supermarket,"5730 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",(407) 507-3821,http://www.mnmsupermarket.com/,ChIJY9xuJuKB3YgRiCzMvTAVZi8,13,"@28.11886,-81.73191,12z",4
CIBO Express Gourmet Markets,"Terminal B Airside, I-4, Orlando, FL 32827",,,ChIJMR1VCvNj54gRA75DZC71l30,14,"@28.11886,-81.73191,12z",4
Alma Foods Import Inc,"1940 E Edgewood Dr, Lakeland, FL 33803",(863) 644-2797,,ChIJswTixuM-3YgRjVdx-e5VDbA,15,"@28.11886,-81.73191,12z",4
The Fresh Market,"612 Centerview Blvd, Kissimmee, FL 34741",(407) 343-0791,https://stores.thefreshmarket.com/fl/kissimmee/225,ChIJ7VZ69sKG3YgRnJOSJPn3LhU,16,"@28.11886,-81.73191,12z",4
Publix Super Market at Water Tower Shoppes,"29 Blake Blvd, Celebration, FL 34747",(321) 939-3100,https://www.publix.com/?setstorenumber=1431&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,ChIJ2wIN_bJ554gRTkqVTbjBSVc,17,"@28.11886,-81.73191,12z",4
Dads Supermarket Meatmarket,"1510 Kathleen Rd, Lakeland, FL 33805",(863) 500-1037,https://dads-supermarket-meatmarket.business.site/?utm_source=gmb&utm_medium=referral,ChIJ1ypeS5FH3YgRr2Pox9HU6xQ,18,"@28.11886,-81.73191,12z",4
Lake Morton Market & Deli,"811 E Palmetto St, Lakeland, FL 33801",(863) 937-5562,,ChIJs3cKMAU_3YgR6msQrtJO_X0,19,"@28.11886,-81.73191,12z",4
Publix Super Market at Champions Gate Village,"8301 Champions Gate Blvd, Championsgate, FL 33896",(407) 390-1315,https://www.publix.com/?setstorenumber=770&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,ChIJl1rlLjp63YgRPJjWUfSNoK8,20,"@28.11886,-81.73191,12z",4
The Fresh Market,"12628 Tamiami Trail E, Naples, FL 34113",(239) 732-0237,https://stores.thefreshmarket.com/fl/naples/171,ChIJdZUNLLjk2ogRNjFamk8OlrY,1,"@25.91774,-81.07706,12z",5
Mainzer's Delicatessen & European Market,"12113 S Dixie Hwy, Pinecrest, FL 33156",(305) 251-2060,http://mainzers.com/,ChIJlYWY1_DG2YgRBNPCF9SELZI,2,"@25.91774,-81.07706,12z",5
Wynn’s Market,"141 9th St N, Naples, FL 34102",(239) 261-7157,https://www.wynnsmarket.com/,ChIJG_oSwZnh2ogRJSsKK7EVP-Q,4,"@25.91774,-81.07706,12z",5
Ambrosi & Sons - Unique Foods of Italy,"3910 Domestic Ave, Naples, FL 34104",(239) 304-9782,http://ambrosiandsons.com/,ChIJ929sCBDj2ogRgkYvjGNSJOs,5,"@25.91774,-81.07706,12z",5
DeRomo's Restaurant,"26851 S Bay Dr suite 140 & 148, Bonita Springs, FL 34134",(239) 325-3583,https://deromos.com/,ChIJ90HplrgZ24gRHRq6fVvH6PE,6,"@25.91774,-81.07706,12z",5
Perricone's Marketplace & Cafe,"1700 SW 3rd Ave, Miami, FL 33129",(305) 374-9449,http://www.perricones.com/,ChIJdZXjioO22YgRd0x1RC_YPKQ,7,"@25.91774,-81.07706,12z",5
Central Market,"320 Coit Rd, Plano, TX 75075",(469) 241-8300,https://www.centralmarket.com/locations/plano?utm_source=google&utm_medium=organic&utm_campaign=cm_stores,ChIJE2YvpBYiTIYRbSJJzIbAnAs,8,"@25.91774,-81.07706,12z",5
Central Market,"1425 E Southlake Blvd, Southlake, TX 76092",(817) 310-5600,https://www.centralmarket.com/locations/southlake?utm_source=google&utm_medium=organic&utm_campaign=cm_stores,ChIJQT3qbfTUTYYRXysLmqQzHDQ,9,"@25.91774,-81.07706,12z",5
Central Market,"4651 West Fwy, Fort Worth, TX 76107",(817) 989-4700,https://www.centralmarket.com/locations/fort-worth?utm_source=google&utm_medium=organic&utm_campaign=cm_stores,ChIJEZ4gbqxzToYRtML3VM9C9vs,10,"@25.91774,-81.07706,12z",5
st.george food mart,"1823 S Fielder Rd, Arlington, TX 76013",(682) 276-6057,,ChIJs-BJDSF9ToYRzaF6Pn0WYoQ,11,"@25.91774,-81.07706,12z",5
Heritage Family Specialty Foods,"901 Santerre St, Grand Prairie, TX 75050",(972) 660-6511,,ChIJuSOKNCeHToYRq390cxcKUfY,12,"@25.91774,-81.07706,12z",5
TAYNOLDS CORPORATION,"411 Lillard Rd, Arlington, TX 76012",(844) 970-9700,https://m.facebook.com/TMequipment,ChIJIYM1Nfh8ToYRSeW7droWl3U,13,"@25.91774,-81.07706,12z",5
Central Market,"10720 Preston Rd Ste 1018, Dallas, TX 75230",(972) 860-6500,https://www.centralmarket.com/locations/dallas-preston-royal?utm_source=google&utm_medium=organic&utm_campaign=cm_stores,ChIJ2cytASieToYRbKz_IUM4HCs,14,"@25.91774,-81.07706,12z",5
Manhattan Gourmet Foods,"1200 Goodlette-Frank Rd, Naples, FL 34102",,,ChIJt844Zu3h2ogRe7NTcsGT0Z4,15,"@25.91774,-81.07706,12z",5
Pars Market & Bakery,"2977 W 15th St, Plano, TX 75075",(972) 985-0003,,ChIJjXu7OngiTIYRuHnTckZv8Wc,16,"@25.91774,-81.07706,12z",5
Target Grocery,"2950 S Blue Angel Pkwy, Pensacola, FL 32506",(850) 454-3000,https://www.target.com/c/order-pickup/-/N-ng0a0?aisles_cid=5xt1a%2CGrocery%2C%2Fc%2Fgrocery%2F-%2FN-5xt1a,ChIJoYrJSX27kIgRsWo95VeHODM,1,"@30.34035,-87.37706,12z",6
Budget Discount Food Store,"947 Massachusetts Ave, Pensacola, FL 32505",(850) 466-3796,,ChIJ7X4JGQC_kIgRJRhd5iYOWZ0,2,"@30.34035,-87.37706,12z",6
Magee Field Grocery,"2422 N Davis Hwy, Pensacola, FL 32503",(850) 438-1911,,ChIJnUAC8ZrAkIgR9HPhMhdv8JQ,3,"@30.34035,-87.37706,12z",6
Sunset Food Store,"1101 Gulf Beach Hwy, Pensacola, FL 32507",,,ChIJOZgJ-kK5kIgRzGrqg8NJrFw,4,"@30.34035,-87.37706,12z",6
Winn-Dixie,"13019 Sorrento Rd, Pensacola, FL 32507",(850) 492-2076,https://www.winndixie.com/,ChIJyRr8_36lkIgRf2mfWkXvCfk,5,"@30.34035,-87.37706,12z",6
Publix Super Market at Shops at Perdido Key,"13390 Perdido Key Dr, Pensacola, FL 32507",(850) 492-5090,https://www.publix.com/?setstorenumber=1296&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,ChIJIxLV-X2vkIgRRTIjTbXn_ZY,6,"@30.34035,-87.37706,12z",6
Greer's CashSaver,"4051 Barrancas Ave, Pensacola, FL 32507",(850) 439-5329,https://www.greers.com/?utm_source=google&utm_medium=organic&utm_campaign=cashsaver_barrancas_ave,ChIJ4aCX_Dy5kIgR6MoS5xZHDG4,7,"@30.34035,-87.37706,12z",6
Elizabeth's Gourmet Creations,"6870 Foley Beach Express, Orange Beach, AL 36561",(256) 294-2207,https://dipfundraisers.com/pages/contact-us,ChIJq6q6pH0PmogRPIdqtAv3tfs,8,"@30.34035,-87.37706,12z",6
Matt's Mom's Mustard,"1616 Atwood Dr apt a, Pensacola, FL 32514",(605) 280-6748,https://mattsmomsmustard.com/,ChIJx1OlZ6eVkIgRDddy16qXVaU,9,"@30.34035,-87.37706,12z",6
Four Winds Fine Foods Market,"6895 N 9th Ave, Pensacola, FL 32504",(850) 477-2808,http://gofourwinds.com/,ChIJSU8WjCjAkIgRErr5UUPTw5c,10,"@30.34035,-87.37706,12z",6
Tin-Tin's Oriental Food,"4922 W Fairfield Dr, Pensacola, FL 32506",(850) 458-5545,,ChIJB1xPopW-kIgRntyki6ZJ5_g,11,"@30.34035,-87.37706,12z",6
Kabayan Filipino Grocery Store,"201 N New Warrington Rd Suites 1 & 2, Pensacola, FL 32506",(850) 453-0794,http://kabayangrocery.com/,ChIJKWqNNF2_kIgRz_JX7fXA6YA,12,"@30.34035,-87.37706,12z",6
Grocery Advantage,"8084 N Davis Hwy, Pensacola, FL 32514",(850) 478-0032,https://m.facebook.com/pages/Grocery-Advantage-Davis-Hwy/377292962401939,ChIJbUZMnq3qkIgREj_SP1L4cL4,13,"@30.34035,-87.37706,12z",6
Greer's CashSaver,"12255 Lillian Hwy, Pensacola, FL 32506",(850) 455-2719,https://www.greers.com/?utm_source=google&utm_medium=organic&utm_campaign=cashsaver_lillian_hwy,ChIJyUS-Fr2kkIgRqU3dx7_NoxQ,14,"@30.34035,-87.37706,12z",6
Winn-Dixie,"4751 Bayou Blvd, Pensacola, FL 32503",(850) 479-9186,https://www.winndixie.com/,ChIJL9qt1G3AkIgRBxT1czOFrSQ,15,"@30.34035,-87.37706,12z",6
The Pantry at The Wharf,"4790 Wharf Pkwy W F106, Orange Beach, AL 36561",(251) 981-2988,http://thepantryatthewharf.com/,ChIJN76V4qsFmogRmCRlYgOjLUg,17,"@30.34035,-87.37706,12z",6
The Fresh Market,"1650 Airport Blvd Suite 400, Pensacola, FL 32504",(850) 479-0886,https://stores.thefreshmarket.com/fl/pensacola/154,ChIJMSxMVxHAkIgR7H52el9vsSU,18,"@30.34035,-87.37706,12z",6
Grocery Outlet #7712,"15 Brent Ln, Pensacola, FL 32503",(850) 912-8158,https://www.groceryoutlet.us/,ChIJjQwExpe_kIgRSUaEMONWafw,19,"@30.34035,-87.37706,12z",6
